Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.960559796437659,0.9476624121838338,0.960559796437659,0.9523891743285822
Decision Tree,0.9346904156064462,0.9339534502102674,0.9346904156064462,0.9343052096687336
KNN,0.9122137404580153,0.9014128485502532,0.9122137404580153,0.9057415074406868
