Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.960559796437659,0.9476624121838338,0.960559796437659,0.9523891743285822
Decision Tree,0.9376590330788804,0.9368960276820452,0.9376590330788804,0.93722979654224
KNN,0.9122137404580153,0.9014128485502532,0.9122137404580153,0.9057415074406868
SVM,0.926208651399491,0.8999027683891688,0.926208651399491,0.9127561049208337
Random Forest,0.9567430025445293,0.9278017555078811,0.9567430025445293,0.9420349954990037
