Preprocessing,Accuracy,Precision,Recall,F1
Raw Data,0.9563189143341815,0.9274466500796871,0.9563189143341815,0.9416409560538708
Encoding Only,0.9580152671755725,0.9292775980095357,0.9580152671755725,0.9433768070776722
Encoding + Scaling,0.9550466497031382,0.9261755208921866,0.9550466497031382,0.9403745241467554
